name,title,duration,country,director,genre,cast,kp_rating,kp_votes_num,imdb_rating,imdb_votes_num
Лорды раздевалки  (видео) Lords of the Lockerroom (1999) 105 мин.,Lords of the Lockerroom (1999),105 мин.,США,реж. Мэттью Мур,"['(для', 'взрослых,', 'спорт)']","Ник Стил, Ван Даркхолм, ...",9.450,1 826,IMDb: 9.20,53
Космос  (сериал)  (2019 – ...) ,(2019 – ...),,США,,['(документальный)'],,9.311,5 101,,
Шоу Грязного Фрэнка  (сериал) The Filthy Frank Show (2011 – 2017) 12 мин.,The Filthy Frank Show (2011 – 2017),12 мин.,США,реж. Джоджи...,"['(фэнтези,', 'комедия,', 'музыка)']","Джоджи, Artemis Holdenberry, ...",9.298,655,IMDb: 9.40,32 813
Друзья  (сериал) Friends (1994 – 2004) 22 мин.,Friends (1994 – 2004),22 мин.,США,реж. Гари Хэлворсон...,"['(комедия,', 'мелодрама)']","Дженнифер Энистон, Кортни Кокс, ...",9.247,420 807,IMDb: 8.80,911 827
Гамильтон Hamilton (2015) 150 мин.,Hamilton (2015),150 мин.,США,реж. Томас Каил,['(мюзикл)'],"Лин-Мануэль Миранда, Лесли Одом мл., ...",9.235,1 709,,
BadComedian  (сериал)  (2011 – ...) ,(2011 – ...),,Россия,реж. Евгений Баженов,['(комедия)'],"Евгений Баженов, Руслан Габидуллин, ...",9.201,32 838,IMDb: 7.80,772
Счастливые люди  (мини-сериал)  (2008) 55 мин.,(2008),55 мин.,Россия,реж. Дмитрий Васюков,['(документальный)'],,9.182,7 820,IMDb: 8.70,116
LEGO Ниндзяго  (сериал) Ninjago (2019 – ...) 11 мин.,Ninjago (2019 – ...),11 мин.,Канада,реж. Рич Джонсон...,"['(мультфильм,', 'боевик,', 'детский...)']","Келли Мецгер, Майкл Адамуэйт, ...",9.182,3 452,IMDb: 8.00,543
Планета Земля 2  (мини-сериал) Planet Earth II (2016) 298 мин.,Planet Earth II (2016),298 мин.,Великобритания,реж. Джастин Андерсон...,['(документальный)'],"Дэвид Аттенборо, ...",9.175,7 665,IMDb: 9.50,106 019
Жизнь человека. Последнее интервью  (2020) ,(2020),,Россия,реж. Сергей Карпов,['(документальный)'],,9.169,4 865,,
Аркейн  (сериал) Arcane: League of Legends (2021 – ...) 42 мин.,Arcane: League of Legends (2021 – ...),42 мин.,США,реж. Паскаль Шаррю...,"['(мультфильм,', 'фантастика,', 'фэнтези...)']","Хейли Стайнфелд, Кевин Алехандро, ...",9.158,9 149,IMDb: 9.40,33 989
Depeche Mode: Devotional  (видео)  (1993) 93 мин.,(1993),93 мин.,Великобритания,реж. Антон Корбейн,"['(документальный,', 'музыка,', 'концерт)']","Depeche Mode, Дэвид Гаан, ...",9.158,1 381,IMDb: 9.20,921
Побег из Шоушенка The Shawshank Redemption (1994) 142 мин.,The Shawshank Redemption (1994),142 мин.,США,реж. Фрэнк Дарабонт,['(драма)'],"Тим Роббинс, Морган Фриман, ...",9.108,794 206,IMDb: 9.30,2 491 904
Малышарики  (сериал)  (2015 – ...) 5 мин.,(2015 – ...),5 мин.,Россия,реж. Марина Мошкова...,"['(мультфильм,', 'детский,', 'семейный...)']","Анна Геллер, Константин Хабенский, ...",9.103,46 289,IMDb: 7.20,47
Голубая планета 2  (мини-сериал) Blue Planet II (2017) 364 мин.,Blue Planet II (2017),364 мин.,Великобритания,,['(документальный)'],"Дэвид Аттенборо, Питер Дрост, ...",9.078,2 000,IMDb: 9.30,37 014
Он вам не Димон   (2017) 49 мин.,(2017),49 мин.,Россия,,['(документальный)'],,9.072,83 911,IMDb: 8.90,3 219
Зеленая миля The Green Mile (1999) 189 мин.,The Green Mile (1999),189 мин.,США,реж. Фрэнк Дарабонт,"['(фэнтези,', 'драма,', 'криминал...)']","Том Хэнкс, Дэвид Морс, ...",9.062,705 325,IMDb: 8.60,1 214 273
